"facility_id","target","EDV","HCP_COVID_19","IMM_3","OP_18b","OP_18c","OP_22","OP_29","SAFE_USE_OF_OPIOIDS","SEP_1","SEV_SEP_3HR","SEV_SEP_6HR","ed_flow_pc1","prevention_pc1"
"390266",0.9818,1,21.8,42,148,NA,1,100,21,65,83,96,0.851813383755357,-0.366651040293639
"390266",0.9984,1,21.8,42,148,NA,1,100,21,65,83,96,0.851813383755357,-0.366651040293639
"390267",1.0283,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390267",1.1108,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390267",0.9837,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390267",1.0716,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390267",1.0502,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390267",1.0018,3,10,39,227,260,3,92,14,65,77,100,-1.49582380106358,0.203527710966076
"390268",0.9521,3,0.3,67,188,262,1,96,15,70,84,98,-0.681682942818723,-0.311885891204689
"390268",0.8652,3,0.3,67,188,262,1,96,15,70,84,98,-0.681682942818723,-0.311885891204689
"390268",1.0004,3,0.3,67,188,262,1,96,15,70,84,98,-0.681682942818723,-0.311885891204689
"390268",0.9968,3,0.3,67,188,262,1,96,15,70,84,98,-0.681682942818723,-0.311885891204689
"390268",0.9683,3,0.3,67,188,262,1,96,15,70,84,98,-0.681682942818723,-0.311885891204689
"390270",1.0627,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390270",0.9883,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390270",0.9945,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390270",0.9798,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390270",1.0356,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390270",0.9208,4,10.2,98,208,486,3,96,14,50,71,93,-2.55656547999669,0.199542574461712
"390304",0.9714,2,9.1,98,189,208,2,NA,14,60,79,89,-0.178103209858689,0.158136564204262
"390304",1.0031,2,9.1,98,189,208,2,NA,14,60,79,89,-0.178103209858689,0.158136564204262
"390304",1.0151,2,9.1,98,189,208,2,NA,14,60,79,89,-0.178103209858689,0.158136564204262
"390307",0.8987,NA,5.6,47,NA,NA,NA,NA,21,NA,NA,NA,0.343014178550846,-0.977424366412322
"390316",1.0073,NA,0,72,NA,NA,NA,75,15,NA,NA,NA,0.343014178550846,-0.32415415996568
"390322",0.7769,NA,0.3,99,NA,NA,NA,NA,1,NA,NA,NA,0.343014178550846,1.7094032646065
"390323",0.8448,NA,6.6,34,NA,NA,NA,NA,11,NA,NA,NA,0.343014178550846,0.51099273946669
"390324",0.5789,NA,48.9,98,NA,NA,NA,NA,NA,NA,NA,NA,0.343014178550846,1.51145745846894
"390325",0.7173,NA,2.5,78,NA,NA,NA,NA,13,NA,NA,NA,0.343014178550846,0.0584272252002909
"390326",0.9898,3,5.1,97,184,291,2,100,15,84,89,100,-0.906120130043736,-0.137059442225933
"390326",1.0076,3,5.1,97,184,291,2,100,15,84,89,100,-0.906120130043736,-0.137059442225933
"390326",1.0146,3,5.1,97,184,291,2,100,15,84,89,100,-0.906120130043736,-0.137059442225933
"390326",1.0378,3,5.1,97,184,291,2,100,15,84,89,100,-0.906120130043736,-0.137059442225933
"390326",1.0303,3,5.1,97,184,291,2,100,15,84,89,100,-0.906120130043736,-0.137059442225933
"390328",0.9907,2,0.9,93,235,272,3,91,17,68,81,88,-1.13985419415516,-0.584022222357002
"390328",1.038,2,0.9,93,235,272,3,91,17,68,81,88,-1.13985419415516,-0.584022222357002
"390328",0.9957,2,0.9,93,235,272,3,91,17,68,81,88,-1.13985419415516,-0.584022222357002
"390328",0.9812,2,0.9,93,235,272,3,91,17,68,81,88,-1.13985419415516,-0.584022222357002
"390328",1.0058,2,0.9,93,235,272,3,91,17,68,81,88,-1.13985419415516,-0.584022222357002
"390329",1.0462,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390329",1.0729,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390329",1.0899,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390329",1.0136,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390329",1.0523,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390329",1.0148,2,2.9,97,289,283,4,100,13,83,95,99,-2.01279845113369,0.0697762182689553
"390330",0.9961,3,5.6,96,166,569,1,100,18,88,95,98,-1.49489087544244,-0.552514905885438
"390330",1.1408,3,5.6,96,166,569,1,100,18,88,95,98,-1.49489087544244,-0.552514905885438
"390330",1.098,3,5.6,96,166,569,1,100,18,88,95,98,-1.49489087544244,-0.552514905885438
"390330",1.185,3,5.6,96,166,569,1,100,18,88,95,98,-1.49489087544244,-0.552514905885438
"390330",1.0058,3,5.6,96,166,569,1,100,18,88,95,98,-1.49489087544244,-0.552514905885438
"390332",1.0686,2,3.7,95,112,159,1,100,14,81,90,96,1.11128209809356,-0.0445438720269371
"390332",1.0009,2,3.7,95,112,159,1,100,14,81,90,96,1.11128209809356,-0.0445438720269371
"390332",0.9891,2,3.7,95,112,159,1,100,14,81,90,96,1.11128209809356,-0.0445438720269371
"390334",0.967,2,15,44,186,NA,1,100,12,65,81,92,-0.111206860418572,0.680408809000771
"390334",1.012,2,15,44,186,NA,1,100,12,65,81,92,-0.111206860418572,0.680408809000771
"390334",0.9625,2,15,44,186,NA,1,100,12,65,81,92,-0.111206860418572,0.680408809000771
"390335",1.0071,2,6,96,141,555,1,100,18,86,92,98,-0.642061174223459,-0.537458174882729
